ID,Lexicons
1,Nadhani wakati umefika wa kukuhukumu kutokana na maneno yako mwenyewe uliyowahi kuropoka hapa.
2,"19:23 Hapo Yesu akawaambia wanafunzi wake, ""Kweli nawaambieni, itakuwa vigumu sana kwa tajiri kuingia katika Ufalme wa mbinguni."
3,Milio ya risasi yasikika kwenye makao …
4,Wapo wanaosema mbona taasisi hiyo ni ya Serikali hivyo wana haki ya kupata habari kutoka katika chombo chao cha Taifa na si vinginevyo.
5,JOHN POMBE MAGUFULI AKUTANA NA KUFANYA MAZUNGUMZO NA KATIBU MKUU WA CCM ABRAHAMAN KINANA IKULU JIJINI DAR ES SALAAM.
6,Madhara yasiyokusudiwa ya utawala wenye kuzingatia matokeo ni pamoja na watu kupuuzia kufeli kwenye kuvutia na kukuza mafanikio yao wakati wakihangaika kulinda ruzuku zao.
7,Ila mimi siungi mkono style inayotumiwa na wanachama wa chama chochote/wananchi katika kuishambulia ccm kwa matusi maneno ya kejeli katika mtandao unaoaminika ni wa watu makini.
8,"Tatizo ni kwamba, ubinafsi wa viongozi wa nchi maskini unafungua milango kwa waporaji."
9,Mafuvu ya vichwa vya waliouawa katika mauaji ya kimbari Rwanda
10,"Mtu anayesemekana kuwa mshirika wa karibu wa mhubiri aliyeuawa wiki jana mjini Mombasa, Kenya, Sheikh Aboud Rogo, amefikishwa mahakamani kwa kosa la uchochezi wa ghasia na kufanya mauaji."
11,"2016, kuhusu huduma mpya ya kifurushi cha Airtel Yatosha kijulikanacho kama “Jipimie Yatosha Yako” kitakachompatia uhuru mteja kutengeneza na kununua kifurushi kinachokidhi mahitaji yake."
12,Makamu wa Rais wa Jamhuri ya Muungano wa Tanzania Dkt Mohammed Gaharib Bilal (kulia) akibadilishana mawazo na Rais Yoweri Museveni wa Uganda wakati wa kilele cha maadhimisho ya Miaka 50 yaUhuru wa Uganda.
13,"Kama ingekuwa zama zile za 1983-85, hawa wangetolewa ktk kipindi kile cha MIKINGAMO, the moment unasikia king'ora, jamaa wako ndani/sero."
14,SHIRIKA LA NYUMBA LA TAIFA KUKARABATI MAJENGO UWANJA WA NDEGE DODOMA - Kaimu Mkuu Mkurugenzi Mkuu wa Mamlaka ya Viwanja vya Ndege Tanzania (TAA) Bw.
15,"Inasemekana baada ya Ivan na Zari kuachana kwa muda kutokana na mvutano kuhusu Sharon, hatimaye wameyamaliza baada ya kikao cha kifamilia kufanyika kikiwakutanisha Zari, mumewe Ivan pamoja na mama yake na Zari na wakayamaliza kwa maamuzi yafuatayo."
16,Mar 28 VIDEO : HIVI NDIVYO KICHUYA ALIVYO OGA PESA ZA MASHABIKI TAIFA BAADA YA KUFUNGA GOLI LA PILI
17,’nikasema na kumwangalia aliyekuwa mke wa docta.
18,"(LUXURY) lakini ""NEEDS"" ni lazima upate kwa mfano: chakula."
19,Habari Na Picha Kwa Niaba Ya Michuzi
20,"Ndio maana wanazuoni wengi wanakiona chama hicho kuwa cha siasa kwa maana tu ya kusajiliwa, lakini uendeshaji wake umekuwa ukifanywa na Dola tangu enzi za TANU hadi Uchaguzi Mkuu uliopita."
21,"Ni ushauri wangu kwenu kwamba mtoe kiapo cha utii kwa mmoja kati ya watu wawili hawa walioko hapa, Umar na Abu Ubaidah bin al-Jarrah."
22,<333 zaidi ya mwaka mmoja uliopita
23,"NGOMA za usiku, mila zilizopitwa na wakati sanjali na uwepo wa mashuga mami na mashoga imeelezwa kuwa ni moja wapo ya sababu zinazochang."
24,Habari kutoka alfedheha news linariport kutoka mwanza kwamba jana katika kikao cha ndani cha chadema cha kupendekeza majina ya mgombea umeya na naibu meya kupokea kichapo cha haja kutoka kwa aliyekuwa diwani Wa kitangiri bwana Henry matata na wapiga kura wake baada ya kumzuia kuingia kwenye mkutano huo kwa sababu ya kutolewa udiwani na kamati kuu ya chadema na kuvuliwa uanachama.
25,"“Saa kumi na mbili na nusu wameamka hata kama wamo likizoni ili kufungua zawadi kwa sababu siku ya kuzaliwa kwao ni zawadi na kuburudika, au sio."
26,Kansela wa Ujerumani Angela Merkel amesema shirika hilo lenye wanachama 56 lazima kwanza lihakikishe amani na uhuru inakuwepo katika mipaka yake.
27,cha muhimu ni huko chuoni waangalie njia mbadala na za kisasa za kuwapatia mafunzo hawa jamaa .
